Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315_of_diluted_wines,Proline,class
'\'(12.93-13.31]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(106.8-116]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(116-125.2]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.183-0.236]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(106.8-116]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(10.656-11.828]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(106.8-116]\'','\'(2.14-2.43]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(5.968-7.14]\'','\'(0.603-0.726]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.93-13.31]\'','\'(3.27-3.776]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.607-inf)\'','\'(1.678-1.995]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(1.246-1.752]\'','\'(1.921-2.108]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.93-13.31]\'','\'(4.788-5.294]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(698.6-838.8]\'',3
'\'(13.69-14.07]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.448-0.501]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(12.17-12.55]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(26.12-28.06]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(1.044-1.361]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(838.8-979]\'',3
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(1.288-1.762]\'','\'(0.501-0.554]\'','\'(2.629-2.946]\'','\'(11.828-inf)\'','\'(-inf-0.603]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(0.814-1.288]\'','\'(0.501-0.554]\'','\'(1.995-2.312]\'','\'(10.656-11.828]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.14-2.43]\'','\'(0.814-1.288]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(2.089-2.362]\'','\'(558.4-698.6]\'',3
'\'(12.93-13.31]\'','\'(3.27-3.776]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(4.282-4.788]\'','\'(2.108-2.295]\'','\'(22.24-24.18]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.044-1.361]\'','\'(5.968-7.14]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(3.27-3.776]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(106.8-116]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.395-0.448]\'','\'(1.361-1.678]\'','\'(10.656-11.828]\'','\'(0.849-0.972]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(3.27-3.776]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(2.258-2.764]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(0.814-1.288]\'','\'(0.342-0.395]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(13.31-13.69]\'','\'(4.282-4.788]\'','\'(2.856-3.043]\'','\'(24.18-26.12]\'','\'(106.8-116]\'','\'(1.85-2.14]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(0.603-0.726]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(2.764-3.27]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(-inf-1.27]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(1.816-2.089]\'','\'(418.2-558.4]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(-inf-0.727]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(14.07-14.45]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(5.294-inf)\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.044-1.361]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(13.31-13.69]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(22.24-24.18]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(12.93-13.31]\'','\'(3.776-4.282]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(116-125.2]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(12.93-13.31]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(116-125.2]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(838.8-979]\'',3
'\'(14.07-14.45]\'','\'(3.776-4.282]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
